X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,globalid,created_user,created_date,last_edited_user,last_edited_date,lo_replica,codigo_nodo_estacion,componente_wifi,componente_aplificacion
-74.068691056891,4.62689711127706,112,09116,AV. 39,1000978.3111,1003394.4912,Avenida 39 - Avenida Calle,Caracas,3,2,0,0,4,0,4.62689711,-74.06869106,{3C0DFD75-3DC0-4C10-9525-5736C91FE4BF},,,TECNICA,2022/08/24 16:32:59+00,,9116,Valor SI al campo,
-74.0783459056279,4.65003852326539,113,07105,Movistar Arena,999907.0205,1005953.4981,Kr 30 Cl 57,NQS,2,1,0,0,4,0,4.65003852,-74.07834591,{A7ECB823-B0D9-4F28-A525-8FF068F2F0AD},,,TECNICA,2022/08/24 16:48:28+00,,7105,Valor SI al campo,
-74.0656178330199,4.69039830253579,114,03011,Suba - Calle 100,1001319.195,1010416.5597,Av Suba Cl 100,Suba,2,1,0,0,4,0,4.6903983,-74.06561783,{663B05BA-6336-4904-BAB0-A035BEA12347},,,TECNICA,2022/04/22 15:51:07+00,,3011,,
-74.0838376385236,4.59812707029748,115,09109,Tercer Milenio,999297.6313,1000213.0552,Calle 8 - Calle 6,Caracas,3,2,0,0,4,0,4.59812707,-74.08383764,{A099F86F-24C0-470F-851A-BFCA12ACD497},,,TECNICA,2022/04/22 15:51:07+00,,9109,,
-74.1186730633572,4.62853237808737,116,05105,Pradera,995432.3612,1003575.4478,Av. Americas -Carrera 64,Americas,4,1,1,32,4,1,4.62853238,-74.11867306,{D74712F7-F1A7-4A56-A6F4-A0063A4C42E1},,,TECNICA,2022/08/24 16:52:55+00,,5105,Valor SI al campo,
-74.1143770815714,4.57679575078242,117,09101,Quiroga,995908.7432,997854.3104,Calle 31 Sur - Calle 32 Su,Caracas,2,1,0,0,4,0,4.57679575,-74.11437708,{77F1542D-3F79-46C2-89AB-CBB898B03F87},,,TECNICA,2022/08/24 16:56:14+00,,9101,Valor SI al campo,
-74.0818916044267,4.60543098167938,118,14001,De La Sabana,999513.5752,1001020.7305,Calle 13 - Carrera 16,Americas,2,2,0,0,4,0,4.60543098,-74.0818916,{9E9696B3-C459-4958-9D52-95BAA2CF6361},,,TECNICA,2022/08/24 16:48:22+00,,14001,Valor SI al campo,
-74.1087599642979,4.66195234965726,119,06100,AV. Rojas,996532.471,1007271.0248,Calle 26-Carrera 69 d,Calle 26,6,1,1,104,4,1,4.66195235,-74.10875996,{82E1D335-0D68-4385-963A-566FC11D0514},,,TECNICA,2022/04/22 15:51:08+00,,6100,,
-74.0862201374238,4.59504554342286,120,09108,Hospital,999033.2565,999872.2984,Calle 4 - Calle 2,Caracas,2,1,0,0,4,0,4.59504554,-74.08622014,{EF772628-254F-4825-A7AB-C9D9A63EA5FC},,,TECNICA,2022/08/24 16:52:09+00,,9108,Valor SI al campo,
-74.0871127746424,4.69395205475174,121,04102,AV. Boyacá,998934.3543,1010809.5358,Transversal 69 B,Calle 80,1,1,0,0,4,0,4.69395205,-74.08711277,{EC3ABE0F-AA5B-432A-838A-8F291CB63748},,,TECNICA,2022/04/22 15:51:08+00,,4102,,
